"","2","3","4"
"Chl_a_Holm-Hansen_F",0,0,0
"Chl_Fluor_Voltage",0,0,0
"conductivity_CTD",0,0,0
"HPLC_ACAROT",0,0,0
"HPLC_ALLOX",0,0,0
"HPLC_ASTAX",0,0,0
"HPLC_BCAROT",0,0,0
"HPLC_BUT19",0,0,0
"HPLC_BUTLIKE",0,0,0
"HPLC_CHLA",0,0,0
"HPLC_CHLB",0,0,0
"HPLC_CHLC12",0,0,0
"HPLC_CHLC3",0,0,0
"HPLC_CHLIDEA",0,0,0
"HPLC_DIADINOX",0,0,0
"HPLC_DIATOX",0,0,0
"HPLC_FUCOX",0,0,0
"HPLC_HEX19",0,0,0
"HPLC_HEXLIKE",0,0,0
"HPLC_HEXLIKE2",0,0,0
"HPLC_PERID",0,0,0
"HPLC_PHAEO",0,0,0
"HPLC_PRASINOX",0,0,0
"HPLC_PYROPHAE",0,0,0
"HPLC_VIOLAX",0,0,0
"HPLC_ZEA",0,0,0
"NH3_Tech_F",0,0,0
"NO2_Tech_F",0,0,0
"NO2NO3_Tech_F",0,2,1
"O2_CTD_mLL",0,0,0
"O2_Electrode_mll",0,0,0
"pH_CTD_nocal",0,0,0
"Phaeo_Holm-HansenF",0,0,0
"PO4_Tech_F",0,2,0
"POC_CHN_mg/m3",0,0,0
"PON_CHN_mg/m3",0,0,0
"Pressure",0,0,0
"Salinity_CTD",0,0,0
"Salinity_Sal_PSS",0,0,0
"SiO4_Tech_F",3,7,0
"Temp_CTD_1968",0,0,0
